CUSTRECORD_EOS_DATE,CUSTRECORD_EOS_MEMO,BINNUMBER
11/08/2024 12:00:00 AM,"Had delayed start on BS1, staff had to finished up RYL Wo that was not on Production Plan. Additionally, some new employees struggled to maintain the pace during the dekitting process. Trays getting stuck at Pneumatic separator.",BS1
11/08/2024 12:00:00 AM,comments,BP1
11/10/2024 12:00:00 AM,test,BS1
11/11/2024 12:00:00 AM,Good Run!! Ran out of  RM11004 which is why had to stop the line around 10:35! Had AA clean the lines and sweep the floors for the rest of the time. Had issues with scrap out due to not enough virtually than physically. Gave it to inventory to check the issues and possibly cycle count or adjust the inventory from the previous shifts.,BP1
11/11/2024 12:00:00 AM,"Good run, finished at 1:35 we ran out of rm11020.",Manual - Bristol
11/11/2024 12:00:00 AM,Machine ran well. Did a changeover from fall to Canada. Cases were jamming in the case sealer.,RP1
11/11/2024 12:00:00 AM,See below,RP1
11/11/2024 12:00:00 AM,See below,RS1
11/12/2024 12:00:00 AM,"95% Uptime, Downtime was due to jams inside the case erector.",RP1
11/12/2024 12:00:00 AM,"Downtime on WIP Availability, PK short on trays due to no tray maker. Ran WO2379 today, lighter HC day for 11/13/2024",IA1
11/12/2024 12:00:00 AM,Finished off WO2487 (960 cases). Started C/O to ZOA 4 FLV 12 PK at 6:54 AM Change over wasn't complete till 8:50AM. Finished ZOA WO2398 and WO2298 (390 cases) Started C/O to EBOOST at 9:28AM Changeover was complete at 10:25AM. During the EBOOST run the customer requested for lot code to be printed on short side which was black making the lot code unreadable since it was black ink. Reached out to commercial and wasn't able to get an immediate response so started C/O to Poppi classics and was able to complete (840 cases before EOS),RS1
11/12/2024 12:00:00 AM,"Good run!! We had downtime on the machine due to misaligned sensor but was still able to make the production, IA65867 is the IA adjustment for the run",BP1
11/12/2024 12:00:00 AM,"Production started at 8:50 AM. We noticed that the vertical arm of the case erector had a few screws coming loose, Ray fixed that issue before getting back to production. Throughout the day, some cans fell while loading onto the infeed conveyor, causing downtime.",BP1
11/12/2024 12:00:00 AM,Ran out the remaining WIP for WO2485 Sams Waterloo @ 4400cs Switched over to Fanta 36pk for the last 1.5 hours @ 900cs,Flight - A1
11/12/2024 12:00:00 AM,See below,RP1
11/12/2024 12:00:00 AM,See below,RS1
11/12/2024 12:00:00 AM,"WO completed, finished at 8:10am. Staff moved to BP1 continue producing.",BS1
11/13/2024 12:00:00 AM,"1.5 hours downtime, most of which was spent waiting on WIP/changeover.  Finished all the Fanta WIP we had in house around 11am and started the changeover while waiting on Acme to bring WIP for Waterloo over.  Had to wait for Acme to unload a truck, receive it in their system and bring it to the line before we could start back up.  All other downtime was minor and due to standard day to day operations issues aside from the air dump.  We need a mechanic out here some point soon to look at it.",Flight - A1
11/13/2024 12:00:00 AM,"10 Hr shift w/ 1 Hr of Down Time: 2 flavor changes - 20 - 30 minutes, 3 instances of cans exploded within the DMM - 15 - 20 minutes, 2 film changes for the ARPAC - 10 minutes. misc waiting - 10 minutes.",Flight - D1
11/13/2024 12:00:00 AM,"90% Uptime, Downtime was due to stopping line to clean trash as it was becoming a hazard for the associates.",RP1
11/13/2024 12:00:00 AM,"At 11:20 AM, the staff transitioned to BP2. As we began operating the Vention Palletizer, there were some issues with it not picking up slipsheets. The maintenance team investigated and resolved the issues. Additionally, adjustments were necessary for the case erector, a loose screw on the mandrel required tightening.",BP2
11/13/2024 12:00:00 AM,"At the start of the shift, machine adjustments were made. Throughout the day, can jams occurred due to the belt conveyor not being fully loaded, causing cartons to get stuck during discharge. New staff had difficulty maintaining a full conveyor, and the carton holder needed readjustment. There was 30 minutes of downtime on the F/C as the line had to be cleared before the next work order. Additionally, had  stop the line whenever positioners ran out of wip.",BD1
11/13/2024 12:00:00 AM,"BP1 encountered issues with the SV4 and SV1 pad sensor clamps, which failed to detect the boxes while passing through the belt conveyor in the tray reset area. This resulted in boxes becoming stuck. Additionally, there were issues with the robot dropping product due to pressure and stickiness from the infeed conveyor. Each time the robot picked up  product, one of the cans in lane 4 would fall. The belt was cleaned during lunchtime. Some adjustments were also made to the case erector, as the boxes were getting too much glue.",BP1
11/13/2024 12:00:00 AM,"BS1 had some issue with the film area during the run. The sensor wasn’t detecting the Film mark, which caused the machine to stop every time it missed it. Additionally, there was some downtime at the start of the shift as staff were dekitting before starting production. Once WO got completed staff moved to BP2 to continue producing.",BS1
11/13/2024 12:00:00 AM,Good Run! Had to complete BD1 Cape May WO 2411 before switching it to BP1 2385. Short on 36 cases for WO of 2200! Ran from 15:00 to 16:16! Got 964 cases for the run,BD1
11/13/2024 12:00:00 AM,"Had a few machine issues where cases sealer was not sealing cases all the way. Abraham made some adjustments and got it back up. Also had issues where the boxes were coming unglued causing jams to case erector. Started C/o @ 5:30 to spindrift. Sent rest of team home while C/O was taking place , also kept 4 extra associates to clean up the excess mess left behind, and to set up rollers with spindrift RMs",RP1
11/13/2024 12:00:00 AM,"Had to run BD1 cape may Wo2411 for and hour and half where BP1 HC was utilized to complete the WO, Had unplanned  of 20 mins of machines issues where we had the fallen can from the robot arm and also a brief of 3min down due to broken part repair of the case erector! IA66216 is the IA adjustment of the run.",BP1
11/13/2024 12:00:00 AM,See below,RP1
11/13/2024 12:00:00 AM,We had issues with the tray loader and the pneumatic separator. 90% of the shift with had the mechanic in the line making adjustment.,RS1
11/13/2024 12:00:00 AM,"we were short 4 people whole shift, this caused us to take skips on the line to make trays to complete the work order which caused downtime.",IA1
11/14/2024 12:00:00 AM,Started shift at 10am due to change over. Still made some adjustments throughout the shift and had some issues with the film which caused about an hour of down time. We were still able to overachieve goal.,Flight - PP1
11/14/2024 12:00:00 AM,had 23 people beginning of shift for SPINDRIFT. kept 4 people from 2nd shift only had 18 from 3rd C/O @ 1215am to Poppi 15pk. sent 4 people home after C/O.,RP1
11/15/2024 12:00:00 AM,"48 total minutes of downtime.  The only abnormal downtime was due to waiting on WIP and issues with a new forklift driver getting the hang of the line (WIP and FG pallet changes, keeping the line stocked, etc).",Flight - A1
11/15/2024 12:00:00 AM,"99% Uptime, no issues.",RP1
11/15/2024 12:00:00 AM,Downtime was due to de-kitting 6x4 during the first quarter of the day had the team remove excess glue from cans. After getting confirmation from commercial we stopped removing glue from cans which helped speed up the process. Had issues with the tray picker grabbing two trays creating jams inside the oven. Had to stop to fully de-Kitt to keep line running if there was a lack of back pressure it would create jams after passing pneumatic Seperator.,RS1
11/15/2024 12:00:00 AM,Great Run. Inventory Adjustment IA66946,BP1
11/15/2024 12:00:00 AM,Major issue was the dekit.,RS1
11/15/2024 12:00:00 AM,Multiple Work orders were complete resulting in downtime associated with flavor and configuration changeover. Once work order got completed staff moved to Bp1 to continue producing.,BP2
11/15/2024 12:00:00 AM,"No major issues, a few wrap faults and date code quality issues but nothing major.",Flight - PP1
11/15/2024 12:00:00 AM,No major issues.,RP1
11/15/2024 12:00:00 AM,"Ran out of wip on both Wos we were running,  Once the WIP was depleted, the staff shifted to BP2 to complete the remaining  Guru WOs. Following the completion of the Guru WOs, the team transitioned to the Manual line to produce WO2203.",BS1
11/15/2024 12:00:00 AM,"Started producing at 9:00am, experienced issues with Robot dropping product throughout the day, not a bad run overall.",BP1
11/15/2024 12:00:00 AM,"Used 1 Extra HC to help with the trash pick up to prevent any injuries , also kept one extra FL driver to help with inventory and damage control. No major machine issues line ran well",RP1
11/15/2024 12:00:00 AM,Wo was not included in the plan. Production started at 11:45 AM. It was a good run.,Manual - Bristol
11/16/2024 12:00:00 AM,"Also had some issue with the film at SOS, film wrapped around the rubber roll inside, happened a few times, got that taken care of then the hole issue happened after that. Once that was going ok, I had a date code quality issues with the coder, cleaned it and it's looking good now. So as of now, we are looking ok.",Flight - PP1
11/18/2024 12:00:00 AM,93% Uptime started Changeover to Poppi Club Fruit at 1:40 P.M. Changeover was complete at 2:00PM.,RP1
11/18/2024 12:00:00 AM,98% uptime,RP1
11/18/2024 12:00:00 AM,Actual quantity of 7650 including the 270 cases scanned in after midnight.  No major downtime to report.,Flight - A1
11/18/2024 12:00:00 AM,BP1 experience downtime on 1. Robot dropping product due to fallen can not being detected. 2. Flavor changeover 3. Box jammed in case erector and case sealer. 4. Date change 5. One person left at 12 due to sickness had to take one person from manual line.,BP1
11/18/2024 12:00:00 AM,"BP2 presented issues with: 1. A delayed start of 18 minutes, as can pads were not staged.  2. The case erector required re-adjustments due boxes getting stuck, additionally had some  quality issues with glued together boxes. 3. New associates struggled to maintain the line's productivity, necessitating a reduction in line speed.  4. Backup on the discharge conveyor led to the case sealer stopped operations and resulted in some box jamming.  5. The Vention palletizer experienced stoppages throughout the day due to mis picked boxes and incorrect box placement. 6.Raven issues- Raven was not counting cases, Alec restarted the electrical box.",BP2
11/18/2024 12:00:00 AM,Had to complete Wo2504 for the poppi cranberry first was only able to scan 1 pallet but had production of 2 pallets and a partial(88). Then had to changeover the flavor and clean the last product to get the planned WO up and running. Had 19 mins of the downtime due to robot was faulted had to power cycle to restart the machine due to an error still kept the slip tray fault took a few minutes to clear out the fault and was up and running. also had fewer jam on the case erector and Can's falling from the robot arm!  IA67423 is the IA for the run.,BP1
11/18/2024 12:00:00 AM,"Manual line was short staff by two people from 7-9am. New staff that need it to get trained struggle on keeping up on packaging. From 12-3 was one person short, had to send one person over BP1 since one of the BP1 staff left due to sickness.",Manual - Bristol
11/18/2024 12:00:00 AM,Most severe issue was coming into a dead battery on the forklift and had to wait for assistance to move it away from the line as it was parked in the palletizing/wrapper area.,Flight - A1
11/18/2024 12:00:00 AM,"No Issues, Line ran well. Case Sealer went down very few times, Case Erector went down a few times with quick fixes.",RP1
11/18/2024 12:00:00 AM,"No Major issues had some film issues at the SOS, film was not wrapping under the bottles correctly.",Flight - PP1
11/18/2024 12:00:00 AM,See below,RS1
11/18/2024 12:00:00 AM,Started off with 6x4 Orange. Had issues with cans falling after pneumatic separator. This was due to lack of back pressure. To help prevent jams we stopped to de-kitt enough WIP to maintain backpressure. This was the main reason for downtime. Completed WO 1320 Cases and Started C/O to Raspberry Rose 12 Pack at 8:45AM total change over time 21 min,RS1
11/18/2024 12:00:00 AM,"Were shorted staffed for 2hr and 15 mins for 3 people. The case erector required re-adjustments due boxes getting stuck, additionally had some quality issues with uneven orientation of box formation  New associates struggled to maintain the line's productivity, palletizer experienced stoppages throughout the day due to missed picked boxes and incorrect box placement. IA67426 is the IA for the run!",BP2
11/19/2024 12:00:00 AM,"22 minutes for changeover, other than that no downtime to report.",Flight - A1
11/19/2024 12:00:00 AM,92% Uptime had issues with jams inside the case erector. Jams were due to no glue on the boxes causing them to fall apart inside the case erector. Changed lot dates but still saw the issue.,RP1
11/19/2024 12:00:00 AM,"92% uptime, see below.",RS1
11/19/2024 12:00:00 AM,99% up time. Major issue was with bad boxes in WO2380.,RP1
11/19/2024 12:00:00 AM,"At the start of the shift, there were several problems. The line was not set up for the run, and no product had been staged in advance. Additionally, no line was dedicated to the run, as everything had to be done manually. We had to manually start up the date coder, which delayed the process. Moreover, the cases had to be manually placed, and the inserts with stickers needed to be applied to the top, which took longer than usual. On top of that, we ran out of glue sticks for the case so had to use case sealer on line BP2, This delay resulted in an additional hour and a half for the run. Had one damaged case for the run which resulted in 1 less case production. IA for the run is IA67741",BP2
11/19/2024 12:00:00 AM,"Despite achieving the target, BP1 was experiencing several issues:  1. The robot was dropping products due to a fallen can that is not being detected by the sensor. When the robot attempts to pick up the product, it successfully holds the cans; however, during the process of placing them into boxes, it causes damage to the boxes. Furthermore, when associates are feeding the infeed, they must tear apart the 12-pack trays. Many of these trays are heavily glued, making them difficult to tear apart, which results in some cans falling when they are pushed onto the infeed conveyor.  2. The SV3 sensor in the ""Tray area"" was failing to detect boxes on the conveyor, leading to case jamming.  3.Box jammed in the case erector.",BP1
11/19/2024 12:00:00 AM,Finished WO for watermelon 12 pack 1440 cases and started C/O at 7:22 AM total changeover time was 20 min.,RS1
11/19/2024 12:00:00 AM,"No major issues, had a bit with the film but solved the problem by changing plts.",Flight - PP1
11/19/2024 12:00:00 AM,"No major machine issues , line ran well .",RP1
11/19/2024 12:00:00 AM,"On BP1, the main challenges were related to new personnel on the line, especially with the palletizers. To ensure a smoother transition, we had to swap operators with the other line. Additionally, we experienced a 13-minute downtime due to the need for pad replacement. Right before lunch, there was an issue with a loose photo eye, causing boxes to pass by the loading station without being detected. We also accumulated 10 minutes of downtime because of the robot dropping products, along with 7 minutes of delays caused by case erector jams. IA for the run is IA67818",BP1
11/19/2024 12:00:00 AM,Only big issue was waiting for WIP. An order was missed for 2nd shift from the previous night. Grant was able to make arrangements to keep the shift going but it caused some inventory issues that ACME had to work out throughout the day today in order to catch up on inventory.,Flight - A1
11/19/2024 12:00:00 AM,"The delayed start was caused by running the BP2 work order first, which took longer than expected due to having to do everything manually. Additionally, there were two incidents with the date coder, where the jet was not detected. This required following specific steps to clear the error, resulting in an 18-minute delay for the run. Furthermore, we encountered a 25-minute delay due to a fault with the pneumatic separator, which further impacted the overall timing of the run. IA for the run is IA67819",BS1
11/20/2024 12:00:00 AM,99% uptime.,RP1
11/20/2024 12:00:00 AM,"BD1 encountered several issues today:  1. The glue tank low pressure issues. 2. The glue nozzles were clogged, resulting in no glue being applied to the cartons. Although the nozzles were replaced, glue application problems persisted, particularly on the top right side, which received no glue at all. 3. The chain was misaligned, causing glue shots to deviate  from the designated set point values. 4. Maintenance  worked from 7:30 AM to 1:35 PM to address these issues. During this time, BD1 staff shifted to the manual line to begin production of WO2386 - Poppi 12pk  Aldi, successfully producing 1,297 units for that work order. Subsequently, production was halted to clear the line for WO2387, necessitating a changeover of the tray former. While waiting, staff were assigned various cleaning tasks, assisted on other lines, and tray counting to maintain productivity during downtime. They were given a lunch break at 11:30 AM, and upon their return, they resumed production for WO2387.  At 1:45 PM, associates transitioned back to BD1 to continue with Blakes production.",BD1
11/20/2024 12:00:00 AM,"BD1 line experienced two main issues that caused downtime. The first issue which carried over from 1st shift  from 3:00 PM to 4:30 PM, where the glue shoot on the non-operator side was inconsistent. It failed to shoot intermittently, halting production. The maintenance team identified a faulty coil in the Mac Valve, which was replaced and tested. Meanwhile, the production crew was moved to BP1 to work on a poppi work order. Once the glue issue was resolved, the team returned to BD1. At 4:56 PM, a second issue occurred with frequent can transfer jams. The mechanic found that the cartons were not set up correctly on the flight chain pausing the lower flap not to get held down when putting the can into the cartons. The side flap on the finished product also open. The mechanic cleaned and lubricated plows,  adjusted the bracket height for the carton to sit correctly into flight chain, which resolved the issues. total of 2hrs 53 minutes of downtime. Was short of 30 cases for the run to complete the work order. IA for the run is IA68242.",BD1
11/20/2024 12:00:00 AM,"Cans got stuck on the product stabalizer which caused around 10 min of downtime, maintanence had to force the cans out using a bar. Finished WO2501, at 12:04 started a change over to WO2518.",RS1
11/20/2024 12:00:00 AM,Case Erector kept going down.,RP1
11/20/2024 12:00:00 AM,Good run!! No issues with the machine and the palletizer robot arm just  3 min of unplanned downtime where 2 min were taken for the dekitting and 1 min of each of case sealer and case erector jam which lead was able to resolve it. Uptime of 99% for the run! IA for the run is IA68244,BP2
11/20/2024 12:00:00 AM,"Had issues with the case sealer jamming up, had maintenance do some adjustments to prevent further jams on the case sealer. Maintenance noticed that there was too much back pressure on the case sealer. Had minor issues with case erector jamming up.",RP1
11/20/2024 12:00:00 AM,No issues,MANUAL-NEVADA
11/20/2024 12:00:00 AM,"Not too many issues, had a few wrap faults, film jams, and some cans falling over due to tray opening on one side. Also was short 1 person.",Flight - PP1
11/20/2024 12:00:00 AM,Overall a really good shift with very minor issues,Flight - A1
11/20/2024 12:00:00 AM,Ran out of Core 2 film around 6:30 and ran out of Sam's core WIP at 8:30.  Sent the crew home after running out of product and completed the changeover to Swire Fanta for Moch's in the morning.,Flight - A1
11/20/2024 12:00:00 AM,"The operation today was satisfactory. However, BP1 encountered several challenges, including: 1. Cans falling onto the conveyor—when the infeed conveyor is not fully loaded, some cans tend to fall. 2. The case erector was non-operational due to the presence of defective boxes that caused jamming. 3. Issues with the sV2 sensor were also reported.",BP1
11/20/2024 12:00:00 AM,"The performance today was satisfactory. However, BS1 encountered several challenges, including:  1. Pneumatic separator experienced issues when the infeed conveyor was fully loaded, resulting in pressure that caused the trays to jam. 2. The date coder machine stopped jetting, requiring a restart. 3. During the dekitting process, despite having male operators managing the work-in-progress, some were unable to maintain the required pace, which frequently halted the dekitting of the work-in-progress. 4. There were instances of minimal film jamming.",BS1
11/20/2024 12:00:00 AM,"The shift was able to run for only 1 hour and 26 minutes in total, as we had to complete Work Order 2517 from the previous shift, which faced several machine-related issues causing delays. There was only 10 minutes of downtime, which was promptly addressed and cleared by the line lead. IA was for the run is IA68247",BP1
11/20/2024 12:00:00 AM,WO 2518 was finished with 1950 cases. HC was sent home.,RS1
11/21/2024 12:00:00 AM,"97% uptime, see below.",RP1
11/21/2024 12:00:00 AM,"BP2 is encountering several operational challenges, including:  1. A backup occurring on the discharge conveyor. 2. A newly trained employee in palletizing is having difficulty mastering the pallet pattern, necessitating frequent corrections. 3. The robot palletizer was experiencing issues such as box jamming, incorrect box picks, and boxes being out of sequence. 4. The date coder machine head was accidentally struck by a trash bin, resulting in some boxes lacking date codes, which requires rework. 5. There was a recurring issue of box jamming at the case sealer whenever there is a backup on the discharge conveyor. 6. Box jamming is also occurring at the case erector. 7. A loose screw on the conveyor rail has resulted in the need for readjustment.",BP2
11/21/2024 12:00:00 AM,"BS1 encountered several challenges during its operations, which impacted efficiency and productivity. These challenges included:  1. The date coder machine unexpectedly stopped jetting, which required a complete restart of the machine. This interruption not only delayed the production process but also necessitated additional time for troubleshooting and ensuring the machine was functioning correctly before resuming operations.  2. Film issues: During the initial run of the work order, complications arose with the film used in packaging. Specifically, cases passing through the oven conveyor exhibited a problem where the left side of the film was folded. This issue was promptly identified by Ray, who took the necessary steps to rectify it, ensuring that the packaging process could continue smoothly.  3. A last-minute absence of one of the pallet operators on BS1 required us to train a new employee. As it was his first day, he faced difficulties in mastering the pallet pattern, resulting in significant downtime due to a backup on the discharge conveyor. A second guy was trained and proved to be more effective than the first.  4. Personnel responsible for loading cases onto the infeed conveyor encountered challenges when placing cans into trays. Some team members struggled to hold four cans at a time, which slowed down the loading process and contributed to overall inefficiencies on the line.  5.Work in progress- even though we had people at the line that knows the work keeping up on dekitting was challenging for them.  6.There was a delay in waiting for trays, necessitating hand gluing.  7.The operator reported that the team on the line could not keep up, attributing the issue to what he labeled as ""Pneumatic Separator fault issues."" I clarified that this assessment was incorrect and requested Alec to create a ticket on Raven for such matters.  8. A complete clearance of the line was required before proceeding with the next work order during the flavor changeover.",BS1
11/21/2024 12:00:00 AM,"BS1 successfully overachieved the target for the shift, reflecting strong productivity. There was 1 flavor change during the shift, which was handled efficiently. Total of 36 minutes for dekitting pallets  impacting overall production time. Pneumatic Separator Fault the line experienced a significant issue with the pneumatic separator. Although the mechanic verified the correct pressure on the separator and checked all sensors, the line experienced intermittent downtime. A total of 29 minutes of downtime was accumulated due to the stop-and-go situation. There was an 8-minute downtime caused by a film jam and a film change. Upto 79% uptime for the shift. IA for the run is IA68766.",BS1
11/21/2024 12:00:00 AM,"Began the shift with Fanta and then C/O to Waterloo at 6:30.  Forklift driver was an hour late so I covered forklift duty.  1:15 downtime after C/O due to issues with the infeed belt and the wiring on the e-stop.  Moch's, Craig and the maintenance team assisted in diagnosing and fixing the issue.  Multiple short delays due to the air dump needing to be reset every time we do a film change.  Short staffed for Waterloo due to running with the headcount we started on for Fanta, but the crew kept up close to normal pace with a full crew.  Would have been an ok day had it not been for the downtime caused by the infeed conveyor issues.",Flight - A1
11/21/2024 12:00:00 AM,"During the shift, SOS the  SV4 box clamp was stuck, halting robot operation. The mechanic quickly reset the tray staging area and cleaned the clamp. Later, the date coder machine was accidentally struck by a pallet, causing some boxes to lack date codes, requiring rework. Another issue arose when the SV4 box clamp and its sensor jammed. The mechanic cleaned and reset both, restoring operations. Additionally, SOS was short one person, but the position was backfilled around 4:15. total 25 minutes of downtime during the shift due to the robot dropping cans, which stopped the operation. The line lead was able to clear the fault each time.  88% uptime for the shift but still fall short of the target due to above issues. IA for the run is IA68765",BP1
11/21/2024 12:00:00 AM,Good run.,BP1
11/21/2024 12:00:00 AM,"Had an issue at the start of shift with the date coder going out. Maintenence did some adjustments and also cleaned the date coder with makeup. Right before first break we had the date coder stop printing again. Towards the end of shift had an issue with the case sealer jamming up, had maintenance do some adjustments to prevent further jams.",RP1
11/21/2024 12:00:00 AM,NO ISSUES,MANUAL-NEVADA
11/21/2024 12:00:00 AM,NO MAJOR MACHINE ISSUES,RP1
11/21/2024 12:00:00 AM,Really rough day today. No lift driver for the first 3 hours of the shift and Fanta 36 is already difficult to keep up with between the speed and how delicate the FG needs to be moved. Delayed start (30min) as we waited for the first round of WIP to come over. All waiting tags after that were due to trying to keep up with the line with no lift driver and then a brand-new lift driver,Flight - A1
11/21/2024 12:00:00 AM,"Started shift with only 4 temps, around 7am went up to 6, then by 8:30 I went up to 8, and by 10:30am I had my 9 temps. Not a good start and also had 1 hour and 42min. total waiting on trays from SIP. WO# 2493 is done.",Flight - PP1
11/21/2024 12:00:00 AM,"due to snow, we had 2 people missing for 5 hours which caused us to get behind on our run.  We also had 70% of our temps that were new, leading to alot of line downtime due to them not being able to keep up.  We will be trying out a new setup for this run tomorrow to help increase throughput to 7K.",IP1
11/22/2024 12:00:00 AM,"7.5 hr shift w/ .5 hrs of down time. Case Erector for 15 min & 12 min for Waiting on WIP - Ashly & myself went to investigate, drivers tried to stage a variant of Doc Pop v3. Sent labor home .5 hrs early, Lyneer Leads + FL Drivers helped with changeover to Spindrift WO2429.",RP1
11/22/2024 12:00:00 AM,"At the start of shift had the date coder stop printing, line lead reset the date coder and got it to start printing again. Had the date coder go out a couple more times throughout the day. Maintenance was able to change the date coder, once we plugged in the replacement date coder it also had issues not printing properly. Date coder down caused 25 min of downtime. Minor issues with case erector jamming up.",RP1
11/22/2024 12:00:00 AM,"BP1 encountered issues with:  1. A deteriorated pad led to the robot dropping products, which has  been replaced. 2. Products fell onto the conveyor belt due to a piece of cardboard from the 12-pack trays being stuck, necessitating cleaning of the infeed rails due to dirt and stickiness. 3. There was some box jamming at the case erector. 4.Date change.",BP1
11/22/2024 12:00:00 AM,"BP1 encountered several issues today. The first problem involved a mixed lot pallet, with three pallets containing three different dates. The line lead had to change the date more frequently to ensure the correct date appeared on the finished product. Additionally, more frequent quality checks were implemented to avoid further mistakes. The second issue occurred when the photo eye at the loading station was knocked out of alignment, preventing boxes from entering the loading area. The mechanic adjusted the photo eye to the reflector, restoring normal operation. Around 8:00 PM, a new problem arose with the back crashes, causing a pressure issue. The tray table and conveyor needed to be cleaned thoroughly. The mechanic requested time to adjust and clean the equipment, and the crew was sent to an early lunch. Overall, the shift experienced  total 28 minutes of downtime caused by the robot dropping products. Additionally, there was total of 9-minute delay due to a product jam.  We were short of just 1 pallet due to above issues. IA for the run is IA69211.",BP1
11/22/2024 12:00:00 AM,"Decent day today, some slight slowdowns waiting for WIP to be brought to the line.  **** looks like the targets for both shifts were combined for 1st shift.",Flight - A1
11/22/2024 12:00:00 AM,"Manual Line encountered following issues throughout the shift. The first problem was a 16-minute delay caused by the tray former jamming back and forth. The mechanic inspected the issue and found that the height of the magazine was too high. When picking one box, multiple boxes would slip out. The mechanic adjusted the height of the magazine, resolving the issue. There was also total of 5-minute delay due to dekitting, which impacted operations, and an additional total of  7 minutes of downtime occurred because of a WIP pallet change for the shift. This delay was caused by needing to retrain the forklift driver due to disciplinary action. As a result of these issues, the shift missed the goal by one pallet. IA for the run is IA69212.",Manual - Bristol
11/22/2024 12:00:00 AM,"No major issues, ran smooth until about 8:50am when we ran out of trays. Waited for over an hour. The call was made to cut the day short and let the SIP team make enough trays for the rest of the day and weekend so we can have a good start next week.",Flight - PP1
11/22/2024 12:00:00 AM,No major machine issues,RP1
11/22/2024 12:00:00 AM,"Pretty smooth day aside from my forklift driver being 2 hours late once again and the changeover taking longer than expected.  When we start 2nd shift again we will find a different forklift driver.  Other than the changeover, no significant downtime to report.",Flight - A1
11/22/2024 12:00:00 AM,"The performance can be deemed satisfactory, even though the target was not achieved.  The staff had difficulty keeping up with the dekitting pace, leading to disruptions during the day, which resulted in slower processing times.",Manual - Bristol
